vignette_name,C,D
discharged weapon (last year),0.99,0.02
CA Republican voter,0.99,0.02
healthcare employment,0.99,0.02
military overseas (federal pool),0.99,0.02
covid vaccine (blue/red),0.99,0.02
NAEP grade 4 reading (MA vs NM),0.99,0.02
HS graduation ACGR (WV vs AZ),0.99,0.02
fantasy sports (male vs female),0.99,0.02
physician vs PhD research,0.99,0.02
tax MFJ single CTC,0.99,0.02
homeownership under 35 vs 65,0.99,0.02
diabetes insulin obese,0.99,0.02
english teacher humanities,0.01,0.999
NFL MLB watch attend,0.99,0.02
fantasy sports (under 45 vs male),0.99,0.02
book drama streaming,0.99,0.02
dog cat household,0.01,0.999
youtube facebook news,0.01,0.999
college grad professional job,0.99,0.02
homeowner suburban mortgage,0.99,0.02
parent married dual income,0.01,0.999
republican gun owner ban,0.01,0.999
