example_id,vignette_name,problem_type,intersection_size,response_type,has_statistics,variant,prompt,well_posed,normative,p_c_and_d_given_a,normative_choice,normative_percent,normative_open,confidence_required,numeric_score_percent,numeric_score_choice,scepticism_required,scepticism_score_target,option_a_label,option_b_label,option_c_label,option_d_label,option_e_label,option_a_lure,option_b_lure,option_c_lure,option_d_lure,option_e_lure,option_f_label,option_g_label,option_h_label,option_f_lure,option_g_lure,option_h_lure,model,llm_response,reasoning,answer_line,confidence_line,parsed_answer_type,parsed_percent,parsed_choice,parsed_confidence,scoring_type,parseable,score
ca_trump_voter__implausible__mc_full_probs,CA Trump voter,implausible,0,mc_full,true,mc_full_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, 80% are registered in California and the remainder are registered elsewhere.
Among those registered in California, 60% are voters registered in Southern California and 38% are other California voters.
Among voters registered in Southern California, 27% voted for Donald Trump in the 2024 presidential election; among other California voters, 31% voted for Donald Trump in the 2024 presidential election; among those registered elsewhere, 38% voted for Donald Trump in the 2024 presidential election.

Given that someone voted for Donald Trump in the 2024 presidential election, what is the probability they were registered in Southern California?

A. About 43%
B. About 75%
C. About 17%
D. About 63%
E. About 55%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,implausible,0.0,A,43.2,43%,true,74.65,B,true,H,About 43%,About 75%,About 17%,About 63%,About 55%,overlap-aware Bayes (uses P(C∩D|A) estimate),partition shortcut (assumes P(C∩D|A)=0),q_c*s_c × q_d*s_d (product; assumes independence),q_d*s_d only (second pathway; assumes partition),q_c*s_c only (first pathway; assumes partition),Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,google/gemini-2.5-flash,"C
5",,C,5,mc_choice,,C,5,mc_full,true,false
ca_trump_voter__mc_full_probs,CA Trump voter,well_posed,0,mc_full,true,mc_full_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, 13% are registered in California and the remainder are registered elsewhere.
Among those registered in California, 60% are voters registered in Southern California and 38% are other California voters.
Among voters registered in Southern California, 27% voted for Donald Trump in the 2024 presidential election; among other California voters, 31% voted for Donald Trump in the 2024 presidential election; among those registered elsewhere, 38% voted for Donald Trump in the 2024 presidential election.

Given that someone voted for Donald Trump in the 2024 presidential election, what is the probability they were registered in Southern California?

A. About 6%
B. About 10%
C. About 4%
D. About 1%
E. About 13%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,well_posed,0.0,A,5.738,5.7%,true,9.912,B,false,A,About 6%,About 10%,About 4%,About 1%,About 13%,overlap-aware Bayes (uses P(C∩D|A) estimate),partition shortcut (assumes P(C∩D|A)=0),q_c*s_c only (first pathway; assumes partition),q_c*s_c × q_d*s_d (product; assumes independence),P(A) confusion,Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,google/gemini-2.5-flash,"A
5",,A,5,mc_choice,,A,5,mc_full,true,true
ca_trump_voter__mc_numeric_probs,CA Trump voter,well_posed,0,mc_numeric,true,mc_numeric_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, 13% are registered in California and the remainder are registered elsewhere.
Among those registered in California, 60% are voters registered in Southern California and 38% are other California voters.
Among voters registered in Southern California, 27% voted for Donald Trump in the 2024 presidential election; among other California voters, 31% voted for Donald Trump in the 2024 presidential election; among those registered elsewhere, 38% voted for Donald Trump in the 2024 presidential election.

Given that someone voted for Donald Trump in the 2024 presidential election, what is the probability they were registered in Southern California?

A. About 6%
B. About 10%
C. About 1%
D. About 4%
E. About 13%

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,well_posed,0.0,A,5.738,5.7%,true,9.912,B,false,n/a,About 6%,About 10%,About 1%,About 4%,About 13%,overlap-aware Bayes (uses P(C∩D|A) estimate),partition shortcut (assumes P(C∩D|A)=0),q_c*s_c × q_d*s_d (product; assumes independence),q_c*s_c only (first pathway; assumes partition),P(A) confusion,,,,,,,google/gemini-2.5-flash,"D
5",,D,5,mc_choice,,D,5,mc_numeric,true,false
ca_trump_voter__open_probs,CA Trump voter,well_posed,0,open,true,open_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, 13% are registered in California and the remainder are registered elsewhere.
Among those registered in California, 60% are voters registered in Southern California and 38% are other California voters.
Among voters registered in Southern California, 27% voted for Donald Trump in the 2024 presidential election; among other California voters, 31% voted for Donald Trump in the 2024 presidential election; among those registered elsewhere, 38% voted for Donald Trump in the 2024 presidential election.

Given that someone voted for Donald Trump in the 2024 presidential election, what is the probability they were registered in Southern California?

Reply on two lines.
Line 1: a percentage (for example, 16% or 16 percent), or exactly one of: ""Insufficient information"" | ""Inconsistent information"" | ""Provided information is obviously incorrect"".
Line 2: your confidence from 1 (not confident) to 5 (very confident).",true,well_posed,0.0,,5.738,5.7%,true,9.912,,false,5.738,,,,,,,,,,,,,,,,,google/gemini-2.5-flash,"10.5%
5",,10.5%,5,probability,10.5,,5,open,true,false
college_stem_work__overlap__explicit__implausible__mc_full_probs,college STEM work,overlap_explicit,medium,mc_full,true,mc_full_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among undergraduate students enrolled at US postsecondary institutions, 26% are first-generation students and the remainder are continuing-generation students.
Among first-generation students, 18% study STEM and 20% are employed while enrolled. An estimated 9% fall into both categories.
Among those who studied STEM, 85% returned for a second year; among those employed while enrolled, 74% returned for a second year; among other students, 88% returned for a second year.

Given that a student returned for a second year, what is the probability the person was a first-generation student?

A. About 8%
B. About 11%
C. About 1%
D. About 6%
E. About 26%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,implausible,0.09,A,8.312,8.3%,true,10.63,B,true,H,About 8%,About 11%,About 1%,About 6%,About 26%,overlap-aware Bayes (uses P(C∩D|A) estimate),partition shortcut (assumes P(C∩D|A)=0),q_c*s_c × q_d*s_d (product; assumes independence),q_c*s_c only (first pathway; assumes partition),P(A) confusion,Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,google/gemini-2.5-flash,"A
5",,A,5,mc_choice,,A,5,mc_full,true,false
college_stem_work__overlap__explicit__mc_full_probs,college STEM work,overlap_explicit,medium,mc_full,true,mc_full_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among undergraduate students enrolled at US postsecondary institutions, 26% are first-generation students and the remainder are continuing-generation students.
Among first-generation students, 18% study STEM and 66% are employed while enrolled. An estimated 9% fall into both categories.
Among those who studied STEM, 85% returned for a second year; among those employed while enrolled, 74% returned for a second year; among other students, 88% returned for a second year.

Given that a student returned for a second year, what is the probability the person was a first-generation student?

A. About 18%
B. About 20%
C. About 3%
D. About 6%
E. About 16%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,underdetermined,0.09,A,18.38,18%,true,20.22,B,false,A,About 18%,About 20%,About 3%,About 6%,About 16%,overlap-aware Bayes (uses P(C∩D|A) estimate),partition shortcut (assumes P(C∩D|A)=0),q_c*s_c × q_d*s_d (product; assumes independence),q_c*s_c only (first pathway; assumes partition),q_d*s_d only (second pathway; assumes partition),Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,google/gemini-2.5-flash,"A
4",,A,4,mc_choice,,A,4,mc_full,true,true
college_stem_work__overlap__explicit__mc_numeric_probs,college STEM work,overlap_explicit,medium,mc_numeric,true,mc_numeric_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among undergraduate students enrolled at US postsecondary institutions, 26% are first-generation students and the remainder are continuing-generation students.
Among first-generation students, 18% study STEM and 66% are employed while enrolled. An estimated 9% fall into both categories.
Among those who studied STEM, 85% returned for a second year; among those employed while enrolled, 74% returned for a second year; among other students, 88% returned for a second year.

Given that a student returned for a second year, what is the probability the person was a first-generation student?

A. About 18%
B. About 20%
C. About 6%
D. About 3%
E. About 16%

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,underdetermined,0.09,A,18.38,18%,true,20.22,B,false,n/a,About 18%,About 20%,About 6%,About 3%,About 16%,overlap-aware Bayes (uses P(C∩D|A) estimate),partition shortcut (assumes P(C∩D|A)=0),q_c*s_c only (first pathway; assumes partition),q_c*s_c × q_d*s_d (product; assumes independence),q_d*s_d only (second pathway; assumes partition),,,,,,,google/gemini-2.5-flash,"A
5",,A,5,mc_choice,,A,5,mc_numeric,true,true
college_stem_work__overlap__explicit__open_probs,college STEM work,overlap_explicit,medium,open,true,open_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among undergraduate students enrolled at US postsecondary institutions, 26% are first-generation students and the remainder are continuing-generation students.
Among first-generation students, 18% study STEM and 66% are employed while enrolled. An estimated 9% fall into both categories.
Among those who studied STEM, 85% returned for a second year; among those employed while enrolled, 74% returned for a second year; among other students, 88% returned for a second year.

Given that a student returned for a second year, what is the probability the person was a first-generation student?

Reply on two lines.
Line 1: a percentage (for example, 16% or 16 percent), or exactly one of: ""Insufficient information"" | ""Inconsistent information"" | ""Provided information is obviously incorrect"".
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,underdetermined,0.09,,18.38,18%,true,20.22,,false,18.38,,,,,,,,,,,,,,,,,google/gemini-2.5-flash,"24%
5",,24%,5,probability,24,,5,open,true,false
college_stem_work__overlap__implicit__implausible__mc_full_probs,college STEM work,overlap_implicit,medium,mc_full,true,mc_full_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among undergraduate students enrolled at US postsecondary institutions, 26% are first-generation students and the remainder are continuing-generation students.
Among first-generation students, 18% study STEM and 20% are employed while enrolled.
Among those who studied STEM, 85% returned for a second year; among those employed while enrolled, 74% returned for a second year; among other students, 88% returned for a second year.

Given that a student returned for a second year, what is the probability the person was a first-generation student?

A. About 8%
B. About 11%
C. About 1%
D. About 6%
E. About 26%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,implausible,0.09,A,8.312,8.3%,true,10.63,B,true,H,About 8%,About 11%,About 1%,About 6%,About 26%,overlap-aware Bayes (uses P(C∩D|A) estimate),partition shortcut (assumes P(C∩D|A)=0),q_c*s_c × q_d*s_d (product; assumes independence),q_d*s_d only (second pathway; assumes partition),P(A) confusion,Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,google/gemini-2.5-flash,"F
4",,F,4,mc_choice,,F,4,mc_full,true,false
college_stem_work__overlap__implicit__mc_full_probs,college STEM work,overlap_implicit,medium,mc_full,true,mc_full_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among undergraduate students enrolled at US postsecondary institutions, 26% are first-generation students and the remainder are continuing-generation students.
Among first-generation students, 18% study STEM and 66% are employed while enrolled.
Among those who studied STEM, 85% returned for a second year; among those employed while enrolled, 74% returned for a second year; among other students, 88% returned for a second year.

Given that a student returned for a second year, what is the probability the person was a first-generation student?

A. About 18%
B. About 20%
C. About 3%
D. About 16%
E. About 6%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,underdetermined,0.09,A,18.38,18%,true,20.22,B,true,F|G|H,About 18%,About 20%,About 3%,About 16%,About 6%,overlap-aware Bayes (uses P(C∩D|A) estimate),partition shortcut (assumes P(C∩D|A)=0),q_c*s_c × q_d*s_d (product; assumes independence),q_d*s_d only (second pathway; assumes partition),q_c*s_c only (first pathway; assumes partition),Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,google/gemini-2.5-flash,"D
4",,D,4,mc_choice,,D,4,mc_full,true,false
