example_id,prompt
discharged_weapon_last_year__open_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among employed police officers and security guards in the United States, 44% are police officers and the remainder are security guards.
Among police officers, 68% are urban police officers and 30% are rural/small-jurisdiction police officers.
Among urban police officers, 0.30% discharged a weapon in the last year; among rural/small-jurisdiction police officers, 0.20% discharged a weapon in the last year; among security guards, 0.02% discharged a weapon in the last year.

Given that a police officer or a security guard discharged a weapon in the last year, what is the probability the person was a police officer?

Reply on two lines.
Line 1: a percentage (for example, 16% or 16 percent), or exactly one of: ""Insufficient information"" | ""Inconsistent information"" | ""Provided information is obviously incorrect"".
Line 2: your confidence from 1 (not confident) to 5 (very confident)."
discharged_weapon_last_year__mc_numeric_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among employed police officers and security guards in the United States, 44% are police officers and the remainder are security guards.
Among police officers, 68% are urban police officers and 30% are rural/small-jurisdiction police officers.
Among urban police officers, 0.30% discharged a weapon in the last year; among rural/small-jurisdiction police officers, 0.20% discharged a weapon in the last year; among security guards, 0.02% discharged a weapon in the last year.

Given that a police officer or a security guard discharged a weapon in the last year, what is the probability the person was a police officer?

A. About 91%
B. About 0%
C. About 70%
D. About 89%
E. About 44%

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E).
Line 2: your confidence from 1 (not confident) to 5 (very confident)."
discharged_weapon_last_year__mc_full_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among employed police officers and security guards in the United States, 44% are police officers and the remainder are security guards.
Among police officers, 68% are urban police officers and 30% are rural/small-jurisdiction police officers.
Among urban police officers, 0.30% discharged a weapon in the last year; among rural/small-jurisdiction police officers, 0.20% discharged a weapon in the last year; among security guards, 0.02% discharged a weapon in the last year.

Given that a police officer or a security guard discharged a weapon in the last year, what is the probability the person was a police officer?

A. About 91%
B. About 70%
C. About 0%
D. About 89%
E. About 44%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident)."
ca_trump_voter__open_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, 13% are registered in California and the remainder are registered elsewhere.
Among those registered in California, 60% are voters registered in Southern California and 38% are other California voters.
Among voters registered in Southern California, 27% voted for Donald Trump in the 2024 presidential election; among other California voters, 31% voted for Donald Trump in the 2024 presidential election; among those registered elsewhere, 38% voted for Donald Trump in the 2024 presidential election.

Given that someone voted for Donald Trump in the 2024 presidential election, what is the probability they were registered in Southern California?

Reply on two lines.
Line 1: a percentage (for example, 16% or 16 percent), or exactly one of: ""Insufficient information"" | ""Inconsistent information"" | ""Provided information is obviously incorrect"".
Line 2: your confidence from 1 (not confident) to 5 (very confident)."
ca_trump_voter__mc_numeric_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, 13% are registered in California and the remainder are registered elsewhere.
Among those registered in California, 60% are voters registered in Southern California and 38% are other California voters.
Among voters registered in Southern California, 27% voted for Donald Trump in the 2024 presidential election; among other California voters, 31% voted for Donald Trump in the 2024 presidential election; among those registered elsewhere, 38% voted for Donald Trump in the 2024 presidential election.

Given that someone voted for Donald Trump in the 2024 presidential election, what is the probability they were registered in Southern California?

A. About 6%
B. About 10%
C. About 1%
D. About 4%
E. About 13%

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E).
Line 2: your confidence from 1 (not confident) to 5 (very confident)."
ca_trump_voter__mc_full_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US registered voters, 13% are registered in California and the remainder are registered elsewhere.
Among those registered in California, 60% are voters registered in Southern California and 38% are other California voters.
Among voters registered in Southern California, 27% voted for Donald Trump in the 2024 presidential election; among other California voters, 31% voted for Donald Trump in the 2024 presidential election; among those registered elsewhere, 38% voted for Donald Trump in the 2024 presidential election.

Given that someone voted for Donald Trump in the 2024 presidential election, what is the probability they were registered in Southern California?

A. About 6%
B. About 10%
C. About 4%
D. About 1%
E. About 13%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident)."
healthcare_employment__open_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US employed adults, 11% are health care professionals.
Among health care professionals, 10% are physicians and 90% are health care professionals who are not physicians.
Among physicians, 54% work in a hospital; among health care professionals who are not physicians, 60% work in a hospital; among other employed adults, 1% work in a hospital.

Given that someone works in a hospital, what is the probability they were a health care professional?

Reply on two lines.
Line 1: a percentage (for example, 16% or 16 percent), or exactly one of: ""Insufficient information"" | ""Inconsistent information"" | ""Provided information is obviously incorrect"".
Line 2: your confidence from 1 (not confident) to 5 (very confident)."
healthcare_employment__mc_numeric_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US employed adults, 11% are health care professionals.
Among health care professionals, 10% are physicians and 90% are health care professionals who are not physicians.
Among physicians, 54% work in a hospital; among health care professionals who are not physicians, 60% work in a hospital; among other employed adults, 1% work in a hospital.

Given that someone works in a hospital, what is the probability they were a health care professional?

A. About 88%
B. About 40%
C. About 26%
D. About 87%
E. About 11%

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E).
Line 2: your confidence from 1 (not confident) to 5 (very confident)."
healthcare_employment__mc_full_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US employed adults, 11% are health care professionals.
Among health care professionals, 10% are physicians and 90% are health care professionals who are not physicians.
Among physicians, 54% work in a hospital; among health care professionals who are not physicians, 60% work in a hospital; among other employed adults, 1% work in a hospital.

Given that someone works in a hospital, what is the probability they were a health care professional?

A. About 88%
B. About 40%
C. About 26%
D. About 87%
E. About 11%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A, B, C, D, or E, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident)."
military_overseas_federal_pool__open_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US active-duty military plus US federal civilian employees, 40% are active-duty service members and the remainder are federal civilian employees.
Among active-duty service members, 35% are US Army active-duty service members and 51% are US Navy or US Air Force active-duty service members.
Among US Army active-duty service members, 58% have worked overseas; among US Navy or US Air Force active-duty service members, 64% have worked overseas; among federal civilian employees, 8% have worked overseas.

Given that an active-duty service member or a federal civilian employee has worked overseas, what is the probability the person was an active-duty service member?

Reply on two lines.
Line 1: a percentage (for example, 16% or 16 percent), or exactly one of: ""Insufficient information"" | ""Inconsistent information"" | ""Provided information is obviously incorrect"".
Line 2: your confidence from 1 (not confident) to 5 (very confident)."
