name,universe,A,N,C,D,T,normative,P_A,P_C_given_A,P_D_given_A,P_C_and_D_given_A,P_C_or_D_given_A,P_C_and_D_given_A_min,P_C_and_D_given_A_max,P_C_or_D_given_A_min,P_C_or_D_given_A_max,joint_status,intersection_size,P_T_given_C,P_T_given_D,P_T_given_N,P_T_given_A_partition,P_A_given_T_partition,sources,joint_note
diabetes insulin obese,US adults 18 years and older,Adult with diagnosed diabetes (self-reported physician diagnosis; NHIS/NHANES),Adult without diagnosed diabetes,Uses insulin among adults with diagnosed diabetes (includes type 1 and insulin-treated type 2),Has obesity among adults with diagnosed diabetes (BMI >= 30 kg/m2; measured BMI in NHANES clinical exam),Hemoglobin A1c above 9.0% (poor glycemic control; NHANES laboratory A1c),underdetermined,0.113,0.282,0.471,0.188,0.565,,,,,derived,large,0.20,0.16,0.01,0.132,0.63,"P(A)=0.113 diagnosed diabetes: NHANES Aug 2021-Aug 2023 (NCHS Data Brief 516). P(C|A)=0.282 insulin use: NHANES 2013-2020 28.2% of adults with diabetes (JAMA Netw Open 2023). P(D|A)=0.471 obesity BMI>=30 among adults with diabetes: 47.1% (CDC National Diabetes Statistics Report 2024). Categories overlap; P(C|A)+P(D|A)=0.753<1 but joint rate needed for P(T|A). P(T|N)=0.01 background A1c>9% without diabetes diagnosis. P(T|C)≈0.20; P(T|D)≈0.16. Partition shortcut P(A|T)≈63%. Trap: compute anyway; sceptical answer is insufficient information.","P(C∩D|A)=0.188 derived as P(C|A)·P(D|C,A) with P(D|C,A)=0.666 (BMI≥30 among insulin-using diabetics, NHANES 2013-2020; JAMA Netw Open 2022 doi:10.1001/jamanetworkopen.2022.47656 Table 1). P(C∪D|A)=P(C|A)+P(D|A)−P(C∩D|A)=0.565. Not a direct NHANES cross-tab of insulin×obesity among all diabetics."
college STEM work,Undergraduate students enrolled at US postsecondary institutions (NPSAS:20 universe),First-generation student (neither parent attended college; NPSAS:20 definition),Continuing-generation student (at least one parent attended college),STEM field of study among first-generation students (NCES broad STEM CIP grouping),Employed while enrolled among first-generation students (paid job internship or work-study while taking classes; NPSAS:16),Retained to year 2: enrolled at same institution in second academic year (IPEDS fall-to-fall retention cohort),underdetermined,0.258,0.18,0.66,0.09,0.75,0,0.18,0.66,0.84,estimated,medium,0.85,0.74,0.88,0.641,0.20,"P(A)=0.258 first-generation: NPSAS 2019-20 (PNPI/NCES fact sheet 2025). P(C|A)≈0.18 STEM major among first-gen. P(D|A)=0.66 employed while enrolled among first-gen: NPSAS:16 (RTI/SIU first-gen fact sheet 2018). P(C∩D|A)≈0.09 midpoint of Fréchet bounds (no published cross-tab). P(T|N)=0.88 continuing-gen year-2 retention. P(T|C)≈0.85 STEM year-2 persistence. P(T|D)≈0.74 employed first-gen retention. Partition P(A|T)≈20%. Trap: disjoint-path Bayes ignoring overlap estimate.","P(C∩D|A)=0.09 estimated as midpoint of Fréchet bounds [0, 0.18] from marginals. P(C∪D|A)=P(C|A)+P(D|A)−P(C∩D|A)=0.75. Point estimate would need NPSAS:16 microdata."
actor waiter overlap,US labor force (CPS; employed and unemployed job-seekers; ~166.4 million in 2024 per NEA Indicator A.5),"Holds an actor occupation in the CPS reference week (SOC 27-2011; primary or secondary job slot; ~57000 nationwide per BLS OEWS 2024 and NEA CPS 2017 primary+secondary split)",Labor-force member with no actor occupation in the reference week,Also holds a waiter/waitress occupation in the same reference week (SOC 35-3031; includes primary waiter with secondary actor and primary actor with secondary waiter),Actor occupation is the secondary job (primary occupation is something else; ~30% of actor job slots per NEA Artists Statistical Portrait 2017 Table 1),Worked part-time at primary job in reference week (fewer than 35 hours per week at main job; CPS),underdetermined,0.00034,0.035,0.298,0.018,0.315,,,,,estimated,small,0.65,0.55,0.16,0.187,0.0004,"P(A)=57000 actor job slots / 166.4M labor force (BLS OOH 2024; NEA A.5 2024). P(D|A)=0.298: 17k secondary / 57k total actor jobs (NEA 2017 CPS Table 1). P(C|A)≈0.035 estimated: ~1750-2250 with waiter occ among actor holders (NEA leisure-primary share among artist moonlighters; BLS 2.33M waiters; Blue Moon 1995 actor moonlighting 11.8%). P(T|N)=0.16 part-time in total labor force (NEA A.5 2024). P(T|C)≈0.65, P(T|D)≈0.55, P(T|A-neither)≈0.46 from performer part-time rates (NEA A.5: performers 54% full-time). Partition P(A|T)≈0.04% treats C/D as disjoint. Trap: waiter-primary/actor-secondary sits in C∩D; treating C and D as exclusive double-counts moonlighters; sceptical answer insufficient information.","P(C∩D|A)≈0.018 is an estimate (not a published CPS cross-tab): waiter-primary with actor-secondary, ~750-1250 workers, bracketed from NEA 2017 (~15% of artist moonlighters primary in leisure/hospitality × actor share of secondary artist jobs) and concurrent-week actor+waiter counts (~500-1600). P(C∪D|A)=P(C|A)+P(D|A)−P(C∩D|A)=0.315. Fréchet bounds: P(C∩D|A)∈[0, 0.035]. Always/sometimes/never waiter while acting is not measured nationally; this row uses CPS reference-week occupations only."
professional drivers speeding,Employed adults in the United States (BLS OES May 2023 occupational employment universe; ~161M employed),Professional driver: primary occupation is operating a motor vehicle for pay (BLS SOC 53-3032/33 truck drivers plus 53-3051/52/53/54 bus shuttle taxi chauffeur drivers; ~3.83M employees),Employed adult whose primary occupation is not professional driving,"Heavy and tractor-trailer truck driver among professional drivers (SOC 53-3032; requires CDL; GVWR > 26000 lb)",Bus driver among professional drivers (SOC 53-3051 school plus 53-3052 transit/intercity bus; excludes shuttle chauffeur and taxi),Received a speeding ticket in the last 12 months: at least one moving citation for exceeding the posted speed limit; warnings and parking tickets do not count; employer-reported violations included if they resulted in a formal citation,underdetermined,0.024,0.534,0.145,0.003,0.676,,,,,derived,small,0.16,0.10,0.09,0.100,0.027,"P(A)=3827580 professional drivers / ~161M employed ≈ 0.024. Components (BLS OES May 2023): heavy truck 2044400; light truck 1003960; school bus 371530; transit bus 184990; shuttle/chauffeur 204930; taxi 17770. P(C|A)=2044400/3827580=0.534. P(D|A)=556520/3827580=0.145. P(C|A)+P(D|A)=0.679<1 (light-truck delivery shuttle taxi etc. remain). P(T|N)≈0.09 estimated annual speeding citation rate for employed non-professional drivers (~9–11% in insurance/driver surveys; not a BLS statistic). P(T|C)≈0.16 estimated for heavy-truck drivers (high mileage; calibrated below NHTSA 17.3% with ≥1 prior speeding conviction within 5 years among large-truck drivers in fatal crashes, NHTSA 813717 2023). P(T|D)≈0.10 estimated for bus drivers (employer monitoring and fixed routes). Partition shortcut P(T|A)≈0.100 gives P(A|T)≈2.7%. Trap: treat truck vs bus as disjoint pathways; sceptical answer insufficient information.","P(C∩D|A)=0.003 estimated (~0.3% of professional drivers): no published BLS cross-tab of simultaneous heavy-truck and bus employment; derived as P(C|A)·P(D|C,A) with P(D|C,A)≈0.006 (order-of-magnitude dual CDL career overlap). P(C∪D|A)=0.534+0.145−0.003=0.676. Fréchet bounds: P(C∩D|A)∈[0,0.145]. Intersection small."
english teacher humanities,Employed adults in the United States (~161 million; BLS occupational employment universe),Public school teacher with main assignment in grades 9-12 (NCES NTPS 2020-21; ~1.23 million teachers),Employed adult who is not a public school teacher in grades 9-12,Main teaching assignment is English/language arts among public grades 9-12 teachers (NCES Table 209.50 2020-21),Bachelor's degree major field is English and language arts among public grades 9-12 teachers (NCES Table 209.60 2020-21),Holds a master's degree or higher: master's education specialist or doctorate (NCES Table 209.50 credential levels),underdetermined,0.0076,0.148,0.171,0.114,0.205,,,,,derived,large,0.69,0.55,0.15,0.196,0.010,"P(A)=1231200/161000000≈0.0076 public grades 9-12 teachers (NCES 209.50 2020-21). P(C|A)=182800/1231200=0.148 English/language arts main assignment. P(D|A)=0.171 bachelor's major English among secondary teachers (NCES 209.60). P(T|C)=0.69 advanced credentials among English-assignment teachers (57.5% master's + 9.1% education specialist + 2.4% doctorate; Table 209.50). P(T|D)≈0.55 estimated for English-major teachers (53-58% master's range). P(T|N)≈0.15 employed adults with graduate degree (Census/ACS order of magnitude). Partition shortcut P(T|A)≈0.196 gives P(A|T)≈1.0% if C/D treated disjoint. Trap: assignment vs degree overlap; sceptical answer insufficient information.","P(C∩D|A)=0.114 derived as P(C|A)·P(D|C,A) with P(D|C,A)=0.769 (76.9% of English-assignment teachers have English bachelor's major; NCES 209.60 in-field rate). P(C∪D|A)=0.205. Intersection/max(P(C|A),P(D|A))=0.114/0.171≈67% (large). Fréchet bounds: P(C∩D|A)∈[0.007,0.148]."
NFL MLB watch attend,US adults 18 years and older,Watched an entire NFL or MLB game in the past year (Ipsos: professional football or baseball),Did not watch an entire NFL or MLB game in the past year,Watched an entire NFL game in the past year among adults who watched NFL or MLB,Watched an entire MLB game in the past year among adults who watched NFL or MLB,Attended an NFL or MLB game in person in the past year,underdetermined,0.64,0.875,0.516,0.391,1.0,,,,,estimated,large,0.13,0.21,0.0,0.222,1.0,"P(NFL)=0.56 and P(MLB)=0.33 watched an entire game in the past year (Ipsos KnowledgePanel Feb 2024; US adults 18+). P(NFL∩MLB)≈0.25 estimated with P(NFL|MLB)≈0.76 (most baseball watchers also watch football; no published Ipsos cross-tab). P(A)=P(NFL∪MLB)=0.56+0.33−0.25=0.64. P(C|A)=0.56/0.64=0.875; P(D|A)=0.33/0.64=0.516; P(C∩D|A)=0.25/0.64=0.391 (large). In-person attendance among all adults: NFL 3%, MLB 6% (same Ipsos poll; attenders are a subset of each league's watchers). P(T|C)≈0.13 and P(T|D)≈0.21 derived from league-specific attend/watch rates (3%/56% and 6%/33%) with small dual-attendance among both-watchers. P(T|N)=0 under attend⊆watch. Partition shortcut treating C/D as disjoint overstates P(T|A)≈0.222 and understates P(C|T)≈51% vs overlap-aware ≈83%. Trap: ignore large NFL∩MLB overlap.","P(C∩D|A)=0.391 estimated from P(NFL∩MLB)≈0.25 / P(A)=0.64. Fréchet bounds on P(NFL∩MLB)∈[0.33+0.56−1, 0.33]=[0,0.33]; 0.25 is toward the high-overlap end (consistent with football's dominance). P(C∪D|A)=1 by construction of A."
fantasy sports (under 45 vs male),US adults 18 years and older,Adult 18 years or older (entire universe),Not applicable outside this universe (placeholder; P(A)=1),Under age 45,Male,"Played fantasy sports for money in the past year (NCPG: season-long or daily fantasy with entry fees)",underdetermined,1.0,0.45,0.49,0.22,0.72,,,,,estimated,large,0.41,0.34,0.08,0.351,1.0,"Universe = all US adults. P(C|A)=0.45 under age 45 (Census 18–44 share of adults 18+); P(D|A)=0.49 male; P(C∩D|A)=0.22≈0.45×0.49 (sex≈balanced by age). P(T)=0.24 past-year fantasy for money; players 70% male (NCPG NGAGE 2.0 2021). P(T|D)=0.70×0.24/0.49≈0.34. P(T|C)≈0.41 blended from NCPG age bands (18–24: 44%; 35–44: 40%; 25–34 not published separately). P(T|N)≈0.08 among adults neither under 45 nor male (women 45+). Intersection/max≈0.22/0.49≈45% (large). Overlap-aware P(under 45|T)≈66%; partition shortcut treating C/D as disjoint ≈53%. Trap: ignore large young-male overlap.","P(C∩D|A)=0.22 estimated as P(under 45)×P(male) (approximate age–sex independence). P(C∪D|A)=0.45+0.49−0.22=0.72. Fréchet bounds: P(C∩D|A)∈[0,0.45]."
book drama streaming,US adults 18 years and older,Adult 18 years or older (entire universe),Not applicable outside this universe (placeholder; P(A)=1),Read at least one book in the past 12 months,Watch streaming services,Engaged with drama in the past year (read at least one drama book or watched drama as online content),underdetermined,1.0,0.75,0.83,0.65,0.93,,,,,estimated,large,0.20,0.53,0,0.590,0.254,"P(C|A)=0.75 read ≥1 book past 12 mo (Pew Oct 2025). P(D|A)=0.83 watch streaming services (Pew Apr 2025). P(C∩D|A)=0.65 estimated (Fréchet [0.58,0.75]). P(T|C)=0.20 read drama among book readers (YouGov Dec 2025: 12% all adults / 60% readers). P(T|D)=0.53 watch dramas as online content (Statista Consumer Insights 2023 Q4). P(T|N)=0. Overlap-aware P(book|T)≈73%; partition shortcut treating C/D as disjoint ≈25%. Trap: large book∩streaming overlap; drama rate higher on streaming but most drama fans still book readers.","P(C∩D|A)=0.65 estimated (not published; most book readers also stream). P(C∪D|A)=0.75+0.83−0.65=0.93. Fréchet bounds: P(C∩D|A)∈[0.58,0.75]."
dog cat household,US households,US household (entire universe; placeholder; P(A)=1),Not applicable outside this universe (placeholder; P(A)=1),Household owns at least one dog,Household owns at least one cat,Took at least one household pet to a veterinarian in the past 12 months,underdetermined,1.0,0.426,0.326,0.19,0.562,,,,,estimated,large,0.79,0.53,0,0.534,0.622,"P(C|A)=0.426 dog-owning households (AVMA 2025 Pet Ownership Sourcebook). P(D|A)=0.326 cat-owning households (AVMA 2025). P(C∩D|A)=0.19 estimated: 0.426×P(cat|dog HH) with P(cat|dog HH)≈0.45 (AVMA 2001 JAVMA cross-tab 40.7% updated upward; Pawlicy 2024 trend toward more dual-species homes). P(T|C)=0.79 annual vet visit among dog owners (APPA 2023-24 National Pet Owners Survey). P(T|D)=0.53 among cat owners (APPA 2023-24). P(T|N)=0. Overlap-aware P(dog|T)≈79%; partition shortcut ≈62%. Trap: large dog∩cat overlap; dog owners visit vets more often.","P(C∩D|A)=0.19 estimated (not a published AVMA 2025 cross-tab). P(C∪D|A)=0.426+0.326−0.19=0.562. Fréchet bounds: P(C∩D|A)∈[0,0.326]. Intersection/max≈45% (large)."
youtube facebook news,US adults 18 years and older,Adult 18 years or older (entire universe),Not applicable outside this universe (placeholder; P(A)=1),Uses YouTube,Uses Facebook,Got news on the platform in the past month among platform users,underdetermined,1.0,0.84,0.71,0.65,0.90,,,,,estimated,large,0.45,0.57,0,0.783,0.483,"P(C|A)=0.84 ever use YouTube (Pew NPORS Jun 2025). P(D|A)=0.71 ever use Facebook (Pew NPORS Jun 2025). P(C∩D|A)=0.65 estimated (Fréchet [0.55,0.71]; heavy dual-platform use). P(T|C)=0.45 get news on YouTube among YouTube users (Pew 2024: 36% of adults / 84% users). P(T|D)=0.57 get news on Facebook among Facebook users (Pew 2024: 40% of adults / 71% users). P(T|N)=0. Overlap-aware P(YouTube|T)≈92%; partition shortcut ≈48%. Trap: large platform overlap; news consumption higher on Facebook.","P(C∩D|A)=0.65 estimated (not published Pew cross-tab). P(C∪D|A)=0.84+0.71−0.65=0.90. Fréchet bounds: P(C∩D|A)∈[0.55,0.71]. Intersection/max≈77% (large)."
