vignette_name,condition,anthropic/claude-haiku-4-5@20251001,anthropic/claude-opus-4-8@default,anthropic/claude-opus-5@default,anthropic/claude-sonnet-4-6@default,google/gemini-2.5-flash,google/gemini-3-flash-preview,google/gemini-3.5-flash,google/gemini-3.6-flash,openai/gpt-5.6-sol,openai/gpt-5.6-terra,mean
carpenter furniture,implicit,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
carpenter furniture,explicit,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
charter buses,implicit,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7
charter buses,explicit,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8
fund allocation,implicit,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6
fund allocation,explicit,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6
gift baskets,implicit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gift baskets,explicit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pottery studio,implicit,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2
pottery studio,explicit,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
print shop,implicit,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
print shop,explicit,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
warehouse shipping,implicit,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8
warehouse shipping,explicit,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9
workshop vehicles,control,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5
mean,,0.4666666666666667,0.5333333333333333,0.7333333333333333,0.8,0.2,0.6666666666666666,0.6,0.6,0.6,0.4,0.5599999999999999
