name,universe,A,N,C,D,T,P_A,P_C_given_A,P_D_given_A,P_T_given_C,P_T_given_D,P_T_given_N,P_T_given_A,P_A_given_T,intersection_size,sources
discharged weapon (last year),"Employed police officers and security guards in the United States","Police officer (sworn local, state, or federal)","Security guard (paid private security, all armed and unarmed)","Urban police officer: serves a jurisdiction with population >=400,000 or department in the central city of a metropolitan area","Rural/small-jurisdiction police officer: serves a community with population under 400,000 outside a major central city","Discharged a weapon in the last year: intentional on-duty firearm discharge in the past 12 months, excluding training and gun-range practice; accidental discharges excluded","0.44","0.68","0.30","0.003","0.002","0.0002","0.0026","0.88",0,"No national annual rate. MN BCA Uniform Crime Report 2023: 17 law-enforcement course-of-duty firearm discharges / 9,969 sworn MN officers ≈ 0.17%/year statewide; 2 private-security course-of-employment discharges (https://www.lrl.mn.gov/docs/2024/mandated/241258.pdf). Washington Post Fatal Force ~1,000 fatal police shootings/year nationally (~0.13%/officer-year) is a lower bound for discharges at a person. Urban/rural split extrapolated from Pew career urban/rural ratio. P(T|N) from MN security incidents ÷ BLS MN security employment."
CA Trump voter,US registered voters,Registered voter whose home state is California,Registered voter whose home state is not California,"Other California registrant: lives in NorCal, Central Valley, or any CA county outside the SoCal list (non–Los Angeles, Orange, San Diego, Riverside, San Bernardino, Ventura, Imperial)","Southern California registrant: registered voter in Los Angeles, Orange, San Diego, Riverside, San Bernardino, Ventura, or Imperial counties",Voted for Donald Trump in the 2024 presidential election (non-voters and other candidates count as T negative),0.13,0.38,0.60,0.31,0.27,0.38,0.28,0.10,0,"State SOS active voter registration (CA ~22M / US ~160–180M). SoCal vs Other CA split from Census county population. 2024 presidential results by county (CA statewide Trump ~38% of ballots). P(T|·) among registrants = turnout × candidate share; P(T|N) from national non-CA weighted average. Trap: CA Trump vote share (~40%) is P(T|A) among voters, not P(A|T)."
healthcare employment,US employed adults,"Health care professional (clinical licensed or credentialed: physicians, nurses, PAs, pharmacists, therapists, etc.)",Employed adult who is not a health care professional,Physician (MD/DO) among health care professionals,"Non-physician health care professional among A (nurses, PAs, pharmacists, therapists, etc.)",Works in a hospital (NAICS 622 inpatient hospital; any job role),0.11,0.10,0.90,0.54,0.60,0.01,0.59,0.85,0,"BLS Occupational Employment Statistics: healthcare practitioners + technical occupations; physicians ~1.1M. AMA/AAMC practice settings for P(T|C). BLS: majority of RNs employed in hospitals for P(T|D). Hospital employment ~5.9M / workforce ~160M for P(T). P(T|N): non-clinical hospital staff (admin, facilities, food) ÷ non-HCP workforce. Trap: P(hospital|physician) != P(physician|hospital)."
military overseas (federal pool),"US active-duty military plus US federal civilian employees","Active-duty US military service member (Army, Navy, Air Force, Marine Corps, Space Force, or Coast Guard)","US federal civilian employee (executive-branch civil service, Foreign Service, and comparable federal civilian personnel; excludes active-duty military and USPS)","US Army active-duty service member","US Navy or US Air Force active-duty service member (Space Force grouped with Air Force; Marine Corps and Coast Guard unassigned in C/D split)","Has worked overseas: for military, at least one deployment or overseas assignment outside the 50 states since joining (RAND HRBS 'ever deployed'); for federal civilians, ever served in a substantial overseas posting (Foreign Service careers are essentially all-OCONUS; other federal series vary)",0.40,0.35,0.51,0.58,0.64,0.08,0.53,0.82,0,"P(A) ≈ 0.40: DMDC ~1.32M active duty / (~1.32M + OPM ~1.87M federal civilians on board). Military rates: RAND 2018 HRBS (60.4% ever deployed; Army 57.9%, Navy 71.7%, Air Force 55.0%). P(T|N) ≈ 0.08: blend Foreign Service ~14k at ~95% ever OCONUS (AFSA; excluded from OPM FedScope) with ~6% ever OCONUS among other federal civil service (estimate from DoD civilian rotation patterns). OPM FedScope: 21,393 / 1.87M ≈ 1.14% currently OCONUS (https://www.opm.gov/policy-data-oversight/data-analysis-documentation/federal-employment-reports/reports-publications/federal-civilian-employment/). Current snapshot in this pool gives P(A|T) ~85% (P(T|N) ≈ 0.011). Trap: using national employed universe (P(A) ≈ 0.8%) instead of federal pool reverses the posterior to ~10%."
covid vaccine (blue/red),US adults 18 years and older,"Received the updated 2024-25 COVID-19 vaccine: at least one dose since August 2024 (2024-25 season shot; matches Pew/KFF/CDC seasonal wording)","Did not receive the updated 2024-25 COVID-19 vaccine (includes never-vaccinated and people vaccinated in prior seasons only)","Blue-state resident among A: lives in a state won by Biden in the 2020 presidential election (state-level; NE/ME district splits ignored)","Red-state resident among A: lives in a state won by Trump in 2020","Had COVID-19 in the past 12 months: positive test (rapid, PCR, or home) or provider diagnosis; reinfections count as T positive",0.27,0.71,0.29,0.08,0.10,0.13,0.086,0.20,0,"P(A) = 0.27: Pew March 2025 -- 27% of adults got updated COVID vaccine since Aug 2024 (https://www.pewresearch.org/short-reads/2025/03/20/more-americans-report-getting-a-flu-shot-than-the-updated-covid-19-vaccine-since-august/); KFF ~23% full 2024-25 season; CDC NIS-FRVM 17.9% by Nov 9 2024 (MMWR 73(46)). P(C|A), P(D|A): blue states ~55% of US population with ~30% seasonal uptake vs red ~45% at ~15% (CDC jurisdiction range VT 33.9% vs PR 5.2%; partisan geography literature). P(T|·): no national survey ties seasonal vaccine status to past-12-month infection directly; P(T|N) ~0.13 from NHIS ever-infected rise 2023-2024 (~6 pp/year) plus reinfections, calibrated so P(T|A) < P(T|N) with modest VE against infection (NEJM veterans 2024-25 outcome VE ~20-37%). P(T|C), P(T|D) extrapolated from geographic case/death divides post-vaccine (ABC/AP analyses). Trap: P(A|T) ~27% if you answer with P(A); ~73% if you use 1-P(A) without Bayes; most vaccinated live in blue states but most COVID cases are among the unvaccinated majority."
NAEP grade 4 reading (MA vs NM),Public school fourth graders in Massachusetts or New Mexico,Public school fourth grader in Massachusetts or New Mexico (entire universe),Not applicable outside this universe (placeholder; P(A)=1),Massachusetts public school fourth grader,New Mexico public school fourth grader,"Proficient reader: at or above NAEP Proficient on the 2024 grade-4 reading assessment (same national assessment and achievement-level definition in both states)",1.0,0.748,0.252,0.40,0.20,0,0.350,0.856,0,"Universe restricted to the MA–NM pair. Enrollment fall 2022 CCD (Table 203.40): MA 66,751 + NM 22,503 = 89,254 fourth graders; P(C|A)=66,751/89,254≈0.748, P(D|A)=22,503/89,254≈0.252. P(T|C)=0.40, P(T|D)=0.20: 2024 NAEP reading snapshots (https://nces.ed.gov/nationsreportcard/subject/publications/stt2024/pdf/2024220MA4.pdf, https://nces.ed.gov/nationsreportcard/subject/publications/stt2024/pdf/2024220NM4.pdf). P(MA|T)=0.40×0.748/(0.40×0.748+0.20×0.252)≈0.856. Trap: P(T|MA)=40% or P(MA)=75% alone are not P(MA|T)≈86%."
HS graduation ACGR (WV vs AZ),Public school twelfth graders in West Virginia or Arizona,Public school twelfth grader in West Virginia or Arizona (entire universe),Not applicable outside this universe (placeholder; P(A)=1),West Virginia public school twelfth grader,Arizona public school twelfth grader,"On-time graduate: graduated within four years with a regular high school diploma under the federal adjusted cohort graduation rate (ACGR; same national methodology in both states)",1.0,0.155,0.845,0.91,0.76,0,0.783,0.180,0,"Universe restricted to the WV–AZ pair. Grade-12 enrollment fall 2022 CCD (Table 203.40): WV 17,489 + AZ 95,122 = 112,611 twelfth graders; P(C|A)=17,489/112,611≈0.155, P(D|A)=95,122/112,611≈0.845. P(T|C)=0.91, P(T|D)=0.76: 2021–22 ACGR, NCES Digest Table 219.46 (https://nces.ed.gov/programs/digest/d23/tables/dt23_219.46.asp). P(WV|T)=0.91×0.155/(0.91×0.155+0.76×0.845)≈0.180. Trap: P(T|WV)=91% or P(WV)=15.5% alone are not P(WV|T)≈18%; Arizona’s much larger cohort pulls the posterior down despite a lower rate."
fantasy sports (male vs female),US adults 18 years and older,Adult 18 years or older (entire universe),Not applicable outside this universe (placeholder; P(A)=1),Male,Female,"Played fantasy sports for money in the past year (NCPG: season-long or daily fantasy with entry fees)",1.0,0.49,0.51,0.34,0.14,0,0.238,0.70,0,"Universe = all US adults. P(C|A)=0.49 male and P(D|A)=0.51 female (Census sex share of adults). P(T)=0.24 past-year fantasy sports for money; players are 70% male / 30% female (NCPG NGAGE 2.0 2021). P(T|C)=0.70×0.24/0.49≈0.34; P(T|D)=0.30×0.24/0.51≈0.14. P(male|fantasy)=0.34×0.49/(0.34×0.49+0.14×0.51)=0.70 (matches NCPG composition). Trap: P(T|male)=34% or 50/50 base rate are not P(male|T)=70%."
physician vs PhD research,"US-residing active physicians plus US-residing employed research doctorate holders in any science, engineering, or health field (NSF SDR 2023)",Member of this combined workforce (entire universe),Not applicable outside this universe (placeholder; P(A)=1),Physician (MD/DO) in this workforce; includes MD-PhD dual-degree holders,Research doctorate holder without an MD in this workforce (NSF SDR; excludes MD/DO),Engaged in research as part of professional work: among physicians AAMC NSSP 2022 self-reported research engagement; among PhD holders NSF SDR 2023 primary work activity is research and development,1.0,0.54,0.46,0.14,0.39,0,0.254,0.299,0,"Universe ≈1.03M active physicians (AAMC 2024) + ≈867K employed research doctorates without MD (SDR 2023: 908,700 employed SEH doctorates minus ~41K MD-PhD overlap at ~4% of physicians). P(C|A)=1,032,365/1,899,765≈0.54. P(T|C)=0.14: NSSP 2022 (JAMA Netw Open 2024; doi:10.1001/jamanetworkopen.2024.33140). P(T|D)=0.39: SDR 2023 primary activity R&D among all employed doctorates (355,450/908,700; NSF 25-321 tab015-002). T definitions differ slightly (self-reported engagement vs primary R&D activity) — harmonize before shipping. P(T|A)≈0.25; P(MD|T)≈30%. Trap: answer 14% (P(research|MD)) or 54% (MD share) instead of ~30%. Alternative T=practice medicine fails: P(T|MD)≈0.84 direct patient care (AAMC 2024) but P(T|PhD)≈0, so P(MD|practices)≈99% — no interesting inverse-confusion."
tax MFJ single CTC,US individual income tax returns filed as married filing jointly or single (tax year 2021; IRS SOI Publication 1304),Return in this filing-status pair (entire universe),Not applicable outside this universe (placeholder; P(A)=1),Married filing jointly,Single,Claimed at least one qualifying child for the Child Tax Credit (proxy: primary recipient of an advance Child Tax Credit payment in 2021; filing status from TY 2019/2020 return used for eligibility),1.0,0.40,0.60,0.36,0.03,0,0.162,0.889,0,"Universe restricted to MFJ or single (excludes head of household, MFS, QSS). P(C|A)=54,161,246/(54,161,246+81,422,759)=0.40 from Pub 1304 TY 2021 return counts. P(T|C)=19,481,385/54,161,246≈0.36; P(T|D)=2,432,327/81,422,759≈0.03 from IRS SOI advance CTC Table 3 (2021 cumulative). Head-of-household filers excluded because most unmarried parents with children use HOH. Trap: answer 36% (P(CTC|MFJ)) or 40% (MFJ share) instead of P(MFJ|CTC)≈89%."
