example_id,vignette_name,failure_mode,condition,problem_type,intersection_size,response_type,has_statistics,variant,prompt,well_posed,normative,true_objective,naive_objective,true_solution,solution_keys,objective_name,implicit_integer,implicit_nonnegative,normative_percent,normative_choice,confidence_required,scepticism_required,scepticism_score_target,option_a_label,option_b_label,violating_solution,violating_objective,optimization_criterion,stated_constraints,tacit_mistake,model,llm_response,reasoning,answer_line,confidence_line,comment_line,parsed_answer_type,parsed_percent,parsed_choice,parsed_confidence,scoring_type,parseable,score,naive_lp_confusion,parsed_objective,parsed_solution
carpenter_furniture__integrality__detects_tacit_violation,carpenter furniture,integrality,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,"You are an operations auditor, checking a proposed plan for another consultant.

The consultant was given the following prompt:

You are an operations consultant. Your task is to recommend the best plan from the information below.

A carpenter builds bookcases and desks for sale. Each bookcase takes 1.5 hours of cutting and 2.25 hours of assembly, and each desk takes 2.25 hours of cutting and 1.5 hours of assembly. This week the carpenter has at most 9 hours of cutting time and at most 9 hours of assembly time. The profit is $37.50 per bookcase and $50 per desk.

What production plan gives the highest total profit for the week?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""bookcases"": <number>, ""desks"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total profit under that plan.
Example shape (values are placeholders): {""solution"": {""bookcases"": 0, ""desks"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.

And proposed the following plan:

{""cost"": 210.0, ""solution"": {""bookcases"": 2.4, ""desks"": 2.4}}

Is this a sensible plan to recommend to the client?

A. Yes — this plan is sensible
B. No — this plan is not appropriate

Which answer is closest? Reply with only the letter (A or B).",false,detects_tacit_violation,200,210,"{""bookcases"": 0, ""desks"": 4}","bookcases,desks",total profit,true,false,200,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""bookcases"": 2.4, ""desks"": 2.4}",210,maximize 37.5 b + 50 d,1.5 b + 2.25 d <= 9; 2.25 b + 1.5 d <= 9,"b, d integer",anthropic/claude-opus-5@default,B,,B,,,mc_choice,,B,,mc_numeric,true,true,false,,
carpenter_furniture__integrality__explicit__json,carpenter furniture,integrality,explicit,explicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A carpenter builds bookcases and desks for sale. Each bookcase takes 1.5 hours of cutting and 2.25 hours of assembly, and each desk takes 2.25 hours of cutting and 1.5 hours of assembly. This week the carpenter has at most 9 hours of cutting time and at most 9 hours of assembly time. The profit is $37.50 per bookcase and $50 per desk. Bookcases and desks must be whole numbers (no fractional furniture).

What production plan gives the highest total profit for the week?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""bookcases"": <number>, ""desks"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total profit under that plan.
Example shape (values are placeholders): {""solution"": {""bookcases"": 0, ""desks"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",true,explicit_constraints,200,210,"{""bookcases"": 0, ""desks"": 4}","bookcases,desks",total profit,true,false,200,,false,false,n/a,,,"{""bookcases"": 2.4, ""desks"": 2.4}",210,maximize 37.5 b + 50 d,1.5 b + 2.25 d <= 9; 2.25 b + 1.5 d <= 9,"b, d integer",anthropic/claude-opus-5@default,"{""solution"": {""bookcases"": 0, ""desks"": 4}, ""cost"": 200}

Enumerating integer options under the constraints (1.5B + 2.25D ≤ 9 cutting, 2.25B + 1.5D ≤ 9 assembly):

- B=0, D=4: cutting 9.0, assembly 6.0 → $200.00 ✔ best
- B=1, D=3: cutting 8.25, assembly 6.75 → $187.50
- B=2, D=2: cutting 7.5, assembly 7.5 → $175.00
- B=3, D=1: cutting 6.75, assembly 8.25 → $162.50
- B=4, D=0: cutting 6.0, assembly 9.0 → $150.00

The LP relaxation optimum is B=D=2.4 (both constraints tight) for $210, but that's infeasible in whole units; the best integer plan is 4 desks for $200. Note this plan leaves 3 hours of assembly time idle — if the carpenter can shift an hour of assembly capacity into cutting (e.g., cross-trained help or outsourced cutting), 5 desks would need 11.25 cutting hours and yield $250, so relieving the cutting bottleneck is the highest-value operational change.",,"{""solution"": {""bookcases"": 0, ""desks"": 4}, ""cost"": 200}

Enumerating integer options under the constraints (1.5B + 2.25D ≤ 9 cutting, 2.25B + 1.5D ≤ 9 assembly):

- B=0, D=4: cutting 9.0, assembly 6.0 → $200.00 ✔ best
- B=1, D=3: cutting 8.25, assembly 6.75 → $187.50
- B=2, D=2: cutting 7.5, assembly 7.5 → $175.00
- B=3, D=1: cutting 6.75, assembly 8.25 → $162.50
- B=4, D=0: cutting 6.0, assembly 9.0 → $150.00

The LP relaxation optimum is B=D=2.4 (both constraints tight) for $210, but that's infeasible in whole units; the best integer plan is 4 desks for $200. Note this plan leaves 3 hours of assembly time idle — if the carpenter can shift an hour of assembly capacity into cutting (e.g., cross-trained help or outsourced cutting), 5 desks would need 11.25 cutting hours and yield $250, so relieving the cutting bottleneck is the highest-value operational change.",,,probability,200,,,open,true,true,false,200,"{""bookcases"": 0, ""desks"": 4}"
carpenter_furniture__integrality__json,carpenter furniture,integrality,implicit,implicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A carpenter builds bookcases and desks for sale. Each bookcase takes 1.5 hours of cutting and 2.25 hours of assembly, and each desk takes 2.25 hours of cutting and 1.5 hours of assembly. This week the carpenter has at most 9 hours of cutting time and at most 9 hours of assembly time. The profit is $37.50 per bookcase and $50 per desk.

What production plan gives the highest total profit for the week?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""bookcases"": <number>, ""desks"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total profit under that plan.
Example shape (values are placeholders): {""solution"": {""bookcases"": 0, ""desks"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",false,implicit_constraints,200,210,"{""bookcases"": 0, ""desks"": 4}","bookcases,desks",total profit,true,false,200,,false,false,n/a,,,"{""bookcases"": 2.4, ""desks"": 2.4}",210,maximize 37.5 b + 50 d,1.5 b + 2.25 d <= 9; 2.25 b + 1.5 d <= 9,"b, d integer",anthropic/claude-opus-5@default,"{""solution"": {""bookcases"": 0, ""desks"": 4}, ""cost"": 200}

Assuming whole units must be produced (partial furniture can't be sold), the best plan is 4 desks and 0 bookcases, using 9 hours of cutting (the binding constraint) and 6 hours of assembly, for $200 profit.

Checks on alternatives: 4 bookcases uses 6 cutting / 9 assembly hours and yields only $150. Mixed integer plans are worse — e.g., 2 bookcases + 2 desks uses 7.5 hours of each and yields $175; 1 bookcase + 3 desks uses 8.25 cutting / 6.75 assembly and yields $187.50; 3 bookcases + 2 desks would need 9 cutting and 9.75 assembly hours, which exceeds the assembly limit.

Qualification: if fractional production were allowed (e.g., work-in-progress carried to next week), the LP optimum is 2.4 bookcases and 2.4 desks, using all 9 hours of both cutting and assembly, for $210. The integer-feasible recommendation above is 4 desks at $200. Note also that 3 hours of assembly time go unused under this plan — that slack could be sold as service work or used to start next week's inventory.",,"{""solution"": {""bookcases"": 0, ""desks"": 4}, ""cost"": 200}

Assuming whole units must be produced (partial furniture can't be sold), the best plan is 4 desks and 0 bookcases, using 9 hours of cutting (the binding constraint) and 6 hours of assembly, for $200 profit.

Checks on alternatives: 4 bookcases uses 6 cutting / 9 assembly hours and yields only $150. Mixed integer plans are worse — e.g., 2 bookcases + 2 desks uses 7.5 hours of each and yields $175; 1 bookcase + 3 desks uses 8.25 cutting / 6.75 assembly and yields $187.50; 3 bookcases + 2 desks would need 9 cutting and 9.75 assembly hours, which exceeds the assembly limit.

Qualification: if fractional production were allowed (e.g., work-in-progress carried to next week), the LP optimum is 2.4 bookcases and 2.4 desks, using all 9 hours of both cutting and assembly, for $210. The integer-feasible recommendation above is 4 desks at $200. Note also that 3 hours of assembly time go unused under this plan — that slack could be sold as service work or used to start next week's inventory.",,,probability,200,,,open,true,true,false,200,"{""bookcases"": 0, ""desks"": 4}"
carpenter_furniture__integrality__needs_tacit_constraint,carpenter furniture,integrality,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,"You are reviewing an operations-planning problem. Decide whether a sensible optimal plan requires applying constraints that are not stated in the problem text.

A carpenter builds bookcases and desks for sale. Each bookcase takes 1.5 hours of cutting and 2.25 hours of assembly, and each desk takes 2.25 hours of cutting and 1.5 hours of assembly. This week the carpenter has at most 9 hours of cutting time and at most 9 hours of assembly time. The profit is $37.50 per bookcase and $50 per desk.

Does finding a sensible optimal plan for this problem require applying any constraints that are not stated above (for example, that counts must be whole numbers, or that quantities cannot be negative)?

A. Yes — unstated constraints (such as whole numbers or non-negativity) are needed
B. No — the stated information is enough as written; no unstated constraints are required

Which answer is closest? Reply with only the letter (A or B).",false,needs_tacit_constraint,200,210,"{""bookcases"": 0, ""desks"": 4}","bookcases,desks",total profit,true,false,200,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""bookcases"": 2.4, ""desks"": 2.4}",210,maximize 37.5 b + 50 d,1.5 b + 2.25 d <= 9; 2.25 b + 1.5 d <= 9,"b, d integer",anthropic/claude-opus-5@default,A,,A,,,mc_choice,,A,,mc_numeric,true,true,false,,
charter_buses__integrality__detects_tacit_violation,charter buses,integrality,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,"You are an operations auditor, checking a proposed plan for another consultant.

The consultant was given the following prompt:

You are an operations consultant. Your task is to recommend the best plan from the information below.

A school must transport at least 130 students to a regional competition. A large bus seats 50 students and costs $820.50 to charter, and a small bus seats 30 students and costs $700.25 to charter.

What charter plan meets the requirement at the lowest total cost?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""large_buses"": <number>, ""small_buses"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total cost under that plan.
Example shape (values are placeholders): {""solution"": {""large_buses"": 0, ""small_buses"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.

And proposed the following plan:

{""cost"": 2133.3, ""solution"": {""large_buses"": 2.6, ""small_buses"": 0}}

Is this a sensible plan to recommend to the client?

A. Yes — this plan is sensible
B. No — this plan is not appropriate

Which answer is closest? Reply with only the letter (A or B).",false,detects_tacit_violation,2341.25,2133.3,"{""large_buses"": 2, ""small_buses"": 1}","large_buses,small_buses",total cost,true,false,2341.25,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""large_buses"": 2.6, ""small_buses"": 0}",2133.3,minimize 820.5 L + 700.25 S,50 L + 30 S >= 130,"L, S integer",anthropic/claude-opus-5@default,B,,B,,,mc_choice,,B,,mc_numeric,true,true,false,,
charter_buses__integrality__explicit__json,charter buses,integrality,explicit,explicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A school must transport at least 130 students to a regional competition. A large bus seats 50 students and costs $820.50 to charter, and a small bus seats 30 students and costs $700.25 to charter. The numbers of large and small buses must be whole numbers (no fractional buses).

What charter plan meets the requirement at the lowest total cost?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""large_buses"": <number>, ""small_buses"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total cost under that plan.
Example shape (values are placeholders): {""solution"": {""large_buses"": 0, ""small_buses"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",true,explicit_constraints,2341.25,2133.3,"{""large_buses"": 2, ""small_buses"": 1}","large_buses,small_buses",total cost,true,false,2341.25,,false,false,n/a,,,"{""large_buses"": 2.6, ""small_buses"": 0}",2133.3,minimize 820.5 L + 700.25 S,50 L + 30 S >= 130,"L, S integer",anthropic/claude-opus-5@default,"{""solution"": {""large_buses"": 2, ""small_buses"": 1}, ""cost"": 2341.25}

Enumeration of the feasible integer options (capacity ≥ 130):

- 3 large, 0 small: 150 seats, $2,461.50
- 2 large, 1 small: 130 seats, $2,341.25 ← lowest cost
- 2 large, 2 small: 160 seats, $3,041.50
- 1 large, 3 small: 140 seats, $2,921.25
- 0 large, 5 small: 150 seats, $3,501.25

The optimal plan is 2 large buses plus 1 small bus, giving exactly 130 seats at $2,341.25.

Qualifications worth noting:
- This assumes buses can be chartered in any mix and that all 130 students must ride (no other transport). It also assumes no minimum-fill, driver, or per-mile surcharges beyond the flat charter fees.
- The plan leaves zero spare seats. If attendance could rise, chaperones need seats, or a bus is unavailable, the next-best options are 1 large + 3 small (140 seats, $2,921.25) or 3 large (150 seats, $2,461.50) — the latter is the cheaper way to buy a 20-seat buffer.",,"{""solution"": {""large_buses"": 2, ""small_buses"": 1}, ""cost"": 2341.25}

Enumeration of the feasible integer options (capacity ≥ 130):

- 3 large, 0 small: 150 seats, $2,461.50
- 2 large, 1 small: 130 seats, $2,341.25 ← lowest cost
- 2 large, 2 small: 160 seats, $3,041.50
- 1 large, 3 small: 140 seats, $2,921.25
- 0 large, 5 small: 150 seats, $3,501.25

The optimal plan is 2 large buses plus 1 small bus, giving exactly 130 seats at $2,341.25.

Qualifications worth noting:
- This assumes buses can be chartered in any mix and that all 130 students must ride (no other transport). It also assumes no minimum-fill, driver, or per-mile surcharges beyond the flat charter fees.
- The plan leaves zero spare seats. If attendance could rise, chaperones need seats, or a bus is unavailable, the next-best options are 1 large + 3 small (140 seats, $2,921.25) or 3 large (150 seats, $2,461.50) — the latter is the cheaper way to buy a 20-seat buffer.",,,probability,2341.25,,,open,true,true,false,2341.25,"{""large_buses"": 2, ""small_buses"": 1}"
charter_buses__integrality__json,charter buses,integrality,implicit,implicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A school must transport at least 130 students to a regional competition. A large bus seats 50 students and costs $820.50 to charter, and a small bus seats 30 students and costs $700.25 to charter.

What charter plan meets the requirement at the lowest total cost?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""large_buses"": <number>, ""small_buses"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total cost under that plan.
Example shape (values are placeholders): {""solution"": {""large_buses"": 0, ""small_buses"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",false,implicit_constraints,2341.25,2133.3,"{""large_buses"": 2, ""small_buses"": 1}","large_buses,small_buses",total cost,true,false,2341.25,,false,false,n/a,,,"{""large_buses"": 2.6, ""small_buses"": 0}",2133.3,minimize 820.5 L + 700.25 S,50 L + 30 S >= 130,"L, S integer",anthropic/claude-opus-5@default,"<!-- Enumerate feasible combos: need 50L + 30S >= 130 -->

Let me enumerate options.

- L=0: need 30S ≥ 130 → S ≥ 4.33 → S=5, cost = 5(700.25) = 3501.25
- L=1: 50 + 30S ≥ 130 → S ≥ 2.67 → S=3, cost = 820.50 + 2100.75 = 2921.25
- L=2: 100 + 30S ≥ 130 → S ≥ 1 → S=1, cost = 1641.00 + 700.25 = 2341.25
- L=3: 150 ≥ 130 → S=0, cost = 2461.50
- L=4: 3282.00 (worse)

Minimum is L=2, S=1 at $2341.25.

{""solution"": {""large_buses"": 2, ""small_buses"": 1}, ""cost"": 2341.25}

Two large buses plus one small bus provides 130 seats exactly — no wasted capacity — at a total of $2,341.25. The closest alternatives are three large buses ($2,461.50, with 20 empty seats) and one large plus three small ($2,921.25). Note that if attendance might rise above 130, three large buses ($2,461.50) buys 20 extra seats for only $120.25 more, which may be worth the flexibility.",,"<!-- Enumerate feasible combos: need 50L + 30S >= 130 -->

Let me enumerate options.

- L=0: need 30S ≥ 130 → S ≥ 4.33 → S=5, cost = 5(700.25) = 3501.25
- L=1: 50 + 30S ≥ 130 → S ≥ 2.67 → S=3, cost = 820.50 + 2100.75 = 2921.25
- L=2: 100 + 30S ≥ 130 → S ≥ 1 → S=1, cost = 1641.00 + 700.25 = 2341.25
- L=3: 150 ≥ 130 → S=0, cost = 2461.50
- L=4: 3282.00 (worse)

Minimum is L=2, S=1 at $2341.25.

{""solution"": {""large_buses"": 2, ""small_buses"": 1}, ""cost"": 2341.25}

Two large buses plus one small bus provides 130 seats exactly — no wasted capacity — at a total of $2,341.25. The closest alternatives are three large buses ($2,461.50, with 20 empty seats) and one large plus three small ($2,921.25). Note that if attendance might rise above 130, three large buses ($2,461.50) buys 20 extra seats for only $120.25 more, which may be worth the flexibility.",,,probability,2341.25,,,open,true,true,false,2341.25,"{""large_buses"": 2, ""small_buses"": 1}"
charter_buses__integrality__needs_tacit_constraint,charter buses,integrality,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,"You are reviewing an operations-planning problem. Decide whether a sensible optimal plan requires applying constraints that are not stated in the problem text.

A school must transport at least 130 students to a regional competition. A large bus seats 50 students and costs $820.50 to charter, and a small bus seats 30 students and costs $700.25 to charter.

Does finding a sensible optimal plan for this problem require applying any constraints that are not stated above (for example, that counts must be whole numbers, or that quantities cannot be negative)?

A. Yes — unstated constraints (such as whole numbers or non-negativity) are needed
B. No — the stated information is enough as written; no unstated constraints are required

Which answer is closest? Reply with only the letter (A or B).",false,needs_tacit_constraint,2341.25,2133.3,"{""large_buses"": 2, ""small_buses"": 1}","large_buses,small_buses",total cost,true,false,2341.25,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""large_buses"": 2.6, ""small_buses"": 0}",2133.3,minimize 820.5 L + 700.25 S,50 L + 30 S >= 130,"L, S integer",anthropic/claude-opus-5@default,A,,A,,,mc_choice,,A,,mc_numeric,true,true,false,,
coffee_roaster__fractional_ok__detects_tacit_violation,coffee roaster,fractional_ok,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,"You are an operations auditor, checking a proposed plan for another consultant.

The consultant was given the following prompt:

You are an operations consultant. Your task is to recommend the best plan from the information below.

A coffee roaster prepares two blends for wholesale sale: House Blend and Morning Blend. House Blend uses 4 kg of arabica and 1 kg of robusta per batch, while Morning Blend uses 1 kg of arabica and 3 kg of robusta per batch. The roaster has 11 kg of arabica and 8 kg of robusta available. Profit is $52 per batch of House Blend and $37 per batch of Morning Blend.

What production plan gives the highest total profit?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""house_blend"": <number>, ""morning_blend"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total profit under that plan.
Example shape (values are placeholders): {""solution"": {""house_blend"": 0, ""morning_blend"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.

And proposed the following plan:

{""cost"": 178.0, ""solution"": {""house_blend"": 2, ""morning_blend"": 2}}

Is this a sensible plan to recommend to the client?

A. Yes — this plan is sensible
B. No — this plan is not appropriate

Which answer is closest? Reply with only the letter (A or B).",false,detects_tacit_violation,188.818181818,178,"{""house_blend"": 2.272727272727273, ""morning_blend"": 1.9090909090909092}","house_blend,morning_blend",total profit,false,false,188.818181818,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""house_blend"": 2, ""morning_blend"": 2}",178,maximize 52 h + 37 m,4 h + m <= 11; h + 3 m <= 8,"h, m integer",anthropic/claude-opus-5@default,"<thinking>
Let me check. Constraints: 4H + M ≤ 11, H + 3M ≤ 8. Profit 52H + 37M.

Proposed: H=2, M=2: arabica 8+2=10 ≤11 ok; robusta 2+6=8 ≤8 ok. Profit = 104+74=178.

Check better integer solutions. H=2, M=2 gives 178.
H=1, M=2: 52+74=126.
H=2, M=1: 104+37=141.
H=2, M=2 = 178.
H=1, M=2: robusta 1+6=7 ok, arabica 4+2=6.
Could H=2, M=2 be improved? Try H=2, M=2 uses all robusta. H=1, M=2 → could add? H=2,M=2 already.
Try H=0, M=2: 74. 
H=2, M=2 seems best integer. Check H=2, M=2 vs LP: solve 4H+M=11, H+3M=8 → multiply second by 4: 4H+12M=32; subtract: 11M=21 → M=21/11≈1.909, H=(8-3*1.909)=8-5.727=2.273. Profit = 52*2.273+37*1.909=118.18+70.64=188.8. Integer options: H=2,M=2 profit 178. H=2, M=1: 141. H=1,M=2:126. So 178 best if integers.

But if fractional allowed (batches maybe fractional?), the answer would be 188.8 approx. Typically these problems use integer batches. Hmm. The question asks whether the plan is sensible. Given feasibility and optimality among integers, likely A.

Actually check H=2, M=2 is feasible and optimal integer. Yes, A.</thinking>A",,"Actually check H=2, M=2 is feasible and optimal integer. Yes, A.</thinking>A",,,mc_choice,,A,,mc_numeric,true,false,false,,
coffee_roaster__fractional_ok__explicit__json,coffee roaster,fractional_ok,explicit,explicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A coffee roaster prepares two blends for wholesale sale: House Blend and Morning Blend. House Blend uses 4 kg of arabica and 1 kg of robusta per batch, while Morning Blend uses 1 kg of arabica and 3 kg of robusta per batch. The roaster has 11 kg of arabica and 8 kg of robusta available. Profit is $52 per batch of House Blend and $37 per batch of Morning Blend. Partial batches are allowed; production amounts need not be whole numbers.

What production plan gives the highest total profit?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""house_blend"": <number>, ""morning_blend"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total profit under that plan.
Example shape (values are placeholders): {""solution"": {""house_blend"": 0, ""morning_blend"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",true,explicit_constraints,188.818181818,178,"{""house_blend"": 2.272727272727273, ""morning_blend"": 1.9090909090909092}","house_blend,morning_blend",total profit,false,false,188.818181818,,false,false,n/a,,,"{""house_blend"": 2, ""morning_blend"": 2}",178,maximize 52 h + 37 m,4 h + m <= 11; h + 3 m <= 8,"h, m integer",anthropic/claude-opus-5@default,"{""solution"": {""house_blend"": 2.2727272727, ""morning_blend"": 1.9090909091}, ""cost"": 188.8181818182}

Constraints: 4H + M ≤ 11 (arabica), H + 3M ≤ 8 (robusta), H, M ≥ 0.

Candidate vertices:
- (0, 0): profit $0
- (2.75, 0): profit $143 (arabica binding, robusta slack)
- (0, 2.667): profit $98.67
- (25/11, 21/11) = (2.2727, 1.9091): both constraints binding, profit = 52(25/11) + 37(21/11) = (1300 + 777)/11 = 2077/11 ≈ $188.82

Optimal plan: produce about 2.27 batches of House Blend and 1.91 batches of Morning Blend, consuming all 11 kg arabica and all 8 kg robusta, for a total profit of approximately $188.82. Since partial batches are permitted, this fractional solution is feasible; if whole batches were required, the best integer plan would be 2 House and 2 Morning for $178.",,"{""solution"": {""house_blend"": 2.2727272727, ""morning_blend"": 1.9090909091}, ""cost"": 188.8181818182}

Constraints: 4H + M ≤ 11 (arabica), H + 3M ≤ 8 (robusta), H, M ≥ 0.

Candidate vertices:
- (0, 0): profit $0
- (2.75, 0): profit $143 (arabica binding, robusta slack)
- (0, 2.667): profit $98.67
- (25/11, 21/11) = (2.2727, 1.9091): both constraints binding, profit = 52(25/11) + 37(21/11) = (1300 + 777)/11 = 2077/11 ≈ $188.82

Optimal plan: produce about 2.27 batches of House Blend and 1.91 batches of Morning Blend, consuming all 11 kg arabica and all 8 kg robusta, for a total profit of approximately $188.82. Since partial batches are permitted, this fractional solution is feasible; if whole batches were required, the best integer plan would be 2 House and 2 Morning for $178.",,,probability,188.818,,,open,true,true,false,188.818,"{""house_blend"": 2.2727272727, ""morning_blend"": 1.9090909091}"
