example_id,vignette_name,failure_mode,condition,problem_type,intersection_size,response_type,has_statistics,variant,well_posed,normative,true_objective,naive_objective,true_solution,solution_keys,objective_name,implicit_integer,implicit_nonnegative,normative_percent,normative_choice,confidence_required,scepticism_required,scepticism_score_target,option_a_label,option_b_label,violating_solution,violating_objective,optimization_criterion,stated_constraints,tacit_mistake
carpenter_furniture__integrality__json,carpenter furniture,integrality,implicit,implicit_constraints,,json,true,json,false,implicit_constraints,200,210,"{""bookcases"": 0, ""desks"": 4}","bookcases,desks",total profit,true,false,200,,false,false,n/a,,,"{""bookcases"": 2.4, ""desks"": 2.4}",210,maximize 37.5 b + 50 d,1.5 b + 2.25 d <= 9; 2.25 b + 1.5 d <= 9,"b, d integer"
carpenter_furniture__integrality__explicit__json,carpenter furniture,integrality,explicit,explicit_constraints,,json,true,json,true,explicit_constraints,200,210,"{""bookcases"": 0, ""desks"": 4}","bookcases,desks",total profit,true,false,200,,false,false,n/a,,,"{""bookcases"": 2.4, ""desks"": 2.4}",210,maximize 37.5 b + 50 d,1.5 b + 2.25 d <= 9; 2.25 b + 1.5 d <= 9,"b, d integer"
carpenter_furniture__integrality__needs_tacit_constraint,carpenter furniture,integrality,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,false,needs_tacit_constraint,200,210,"{""bookcases"": 0, ""desks"": 4}","bookcases,desks",total profit,true,false,200,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""bookcases"": 2.4, ""desks"": 2.4}",210,maximize 37.5 b + 50 d,1.5 b + 2.25 d <= 9; 2.25 b + 1.5 d <= 9,"b, d integer"
carpenter_furniture__integrality__detects_tacit_violation,carpenter furniture,integrality,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,false,detects_tacit_violation,200,210,"{""bookcases"": 0, ""desks"": 4}","bookcases,desks",total profit,true,false,200,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""bookcases"": 2.4, ""desks"": 2.4}",210,maximize 37.5 b + 50 d,1.5 b + 2.25 d <= 9; 2.25 b + 1.5 d <= 9,"b, d integer"
print_shop__integrality__json,print shop,integrality,implicit,implicit_constraints,,json,true,json,false,implicit_constraints,200,210,"{""booklets"": 4, ""posters"": 0}","posters,booklets",total profit,true,false,200,,false,false,n/a,,,"{""booklets"": 2.4, ""posters"": 2.4}",210,maximize 37.5 p + 50 b,1.5 p + 2.25 b <= 9; 2.25 p + 1.5 b <= 9,"p, b integer"
print_shop__integrality__explicit__json,print shop,integrality,explicit,explicit_constraints,,json,true,json,true,explicit_constraints,200,210,"{""booklets"": 4, ""posters"": 0}","posters,booklets",total profit,true,false,200,,false,false,n/a,,,"{""booklets"": 2.4, ""posters"": 2.4}",210,maximize 37.5 p + 50 b,1.5 p + 2.25 b <= 9; 2.25 p + 1.5 b <= 9,"p, b integer"
print_shop__integrality__needs_tacit_constraint,print shop,integrality,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,false,needs_tacit_constraint,200,210,"{""booklets"": 4, ""posters"": 0}","posters,booklets",total profit,true,false,200,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""booklets"": 2.4, ""posters"": 2.4}",210,maximize 37.5 p + 50 b,1.5 p + 2.25 b <= 9; 2.25 p + 1.5 b <= 9,"p, b integer"
print_shop__integrality__detects_tacit_violation,print shop,integrality,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,false,detects_tacit_violation,200,210,"{""booklets"": 4, ""posters"": 0}","posters,booklets",total profit,true,false,200,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""booklets"": 2.4, ""posters"": 2.4}",210,maximize 37.5 p + 50 b,1.5 p + 2.25 b <= 9; 2.25 p + 1.5 b <= 9,"p, b integer"
pottery_studio__integrality__json,pottery studio,integrality,implicit,implicit_constraints,,json,true,json,false,implicit_constraints,180,211.22,"{""bowls"": 0, ""vases"": 4}","bowls,vases",total profit,true,false,180,,false,false,n/a,,,"{""bowls"": 2.44898, ""vases"": 2.44898}",211.22,maximize 41.25 b + 45 v,1.65 b + 2.025 v <= 9; 2.025 b + 1.65 v <= 9,"b, v integer"
pottery_studio__integrality__explicit__json,pottery studio,integrality,explicit,explicit_constraints,,json,true,json,true,explicit_constraints,180,211.22,"{""bowls"": 0, ""vases"": 4}","bowls,vases",total profit,true,false,180,,false,false,n/a,,,"{""bowls"": 2.44898, ""vases"": 2.44898}",211.22,maximize 41.25 b + 45 v,1.65 b + 2.025 v <= 9; 2.025 b + 1.65 v <= 9,"b, v integer"
